# {"t_start": 1593267275.508339, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
73.054853,8,1.61872
54.346605,6,1.624666
63.391972,7,1.631816
63.705873,7,1.638499
72.832871,8,1.64673
35.877577,4,1.65074
54.108628,6,1.656525
82.015037,9,1.665256
82.575025,9,1.673803
45.534556,5,1.678688
45.049921,5,1.683751
54.063619,6,1.68957
72.73573,8,1.697114
63.804607,7,1.704309
35.896029,4,1.708303
53.74236,6,1.714519
91.526963,10,1.723972
54.650051,6,1.730512
73.171304,8,1.738991
35.945114,4,1.743046
63.612543,7,1.749978
54.286884,6,1.755803
36.294017,4,1.759797
45.410132,5,1.764691
138.157569,15,1.779483
63.502321,7,1.787092
45.249209,5,1.792014
72.835759,8,1.799641
26.857217,3,1.803192
54.562154,6,1.809792
81.849094,9,1.818338
54.55693,6,1.825134
44.698164,5,1.830098
82.469847,9,1.839407
63.477028,7,1.846392
82.180427,9,1.855768
63.458469,7,1.862612
72.759002,8,1.870942
110.085366,12,1.883171
63.445613,7,1.890498
63.966705,7,1.897335
35.611212,4,1.901314
45.119557,5,1.906283
81.682708,9,1.915907
63.418583,7,1.922635
81.889811,9,1.932039
35.568268,4,1.936094
35.934933,4,1.940103
54.219371,6,1.946608
73.186196,8,1.954229
63.37248,7,1.961727
63.453953,7,1.968648
63.639002,7,1.975398
45.191544,5,1.982877
54.225154,6,1.988812
63.257978,7,1.99581
91.06517,10,2.006026
72.753172,8,2.014381
35.954074,4,2.018516
45.218648,5,2.023447
72.977296,8,2.031774
82.227766,9,2.040567
44.988314,5,2.045443
54.349015,6,2.051487
82.532703,9,2.060025
35.899232,4,2.064023
35.544183,4,2.068989
91.40799,10,2.078431
45.62745,5,2.084218
36.152134,4,2.088238
45.247156,5,2.0931
82.147083,9,2.102462
72.876412,8,2.11022
63.500174,7,2.116971
54.712194,6,2.123061
45.500919,5,2.127942
53.933971,6,2.133725
45.287306,5,2.139417
54.371615,6,2.14526
44.901282,5,2.15017
54.210592,6,2.156697
35.983048,4,2.16069
35.854814,4,2.164703
36.072178,4,2.16869
45.003605,5,2.174407
54.230658,6,2.180338
45.007698,5,2.185201
63.607808,7,2.192111
101.187785,11,2.202421
54.729073,6,2.20917
35.564557,4,2.21327
45.32846,5,2.218156
26.813635,3,2.221251
63.627057,7,2.230321
44.885556,5,2.235337
35.978715,4,2.239377
54.618301,6,2.246918
72.900474,8,2.254596
157.062873,17,2.271201
64.205249,7,2.278716
119.988219,13,2.290781
73.293253,8,2.299485
73.055399,8,2.307221
63.531732,7,2.315482
63.490935,7,2.322232
82.436202,9,2.331495
35.383357,4,2.335681
119.189671,13,2.348702
26.76552,3,2.35186
63.510075,7,2.358577
91.876693,10,2.368842
82.229375,9,2.377438
35.860678,4,2.382161
45.337712,5,2.387142
63.756501,7,2.393882
54.197333,6,2.399774
35.547666,4,2.404655
63.742768,7,2.411448
73.175978,8,2.419908
72.912604,8,2.427547
36.008278,4,2.43153
54.535264,6,2.438176
54.07553,6,2.444067
73.192743,8,2.452468
63.763089,7,2.45953
54.628242,6,2.465581
36.164207,4,2.47415
36.117106,4,2.480171
63.828787,7,2.48798
45.212222,5,2.493445
54.737663,6,2.499283
54.554347,6,2.505592
63.465896,7,2.512579
54.647437,6,2.518409
35.853413,4,2.523393
35.853413,4,2.527456
45.312606,5,2.532337
26.774583,3,2.535492
91.751261,10,2.546198
54.227701,6,2.552332
35.679475,4,2.557173
35.613856,4,2.561251
45.267337,5,2.566306
35.732401,4,2.570389
63.749166,7,2.578464
35.533865,4,2.582529
45.294214,5,2.587416
81.867019,9,2.598607
45.217267,5,2.603619
54.550729,6,2.609853
54.519668,6,2.61583
63.437373,7,2.622577
54.445225,6,2.629529
45.001827,5,2.634581
45.018845,5,2.639481
35.535127,4,2.644074
82.495223,9,2.652808
82.659996,9,2.662256
72.997055,8,2.670328
45.450958,5,2.675246
45.277517,5,2.680351
63.536024,7,2.687096
53.943263,6,2.692862
63.051664,7,2.700745
35.579506,4,2.704855
36.182658,4,2.708825
54.376745,6,2.715383
155.862179,17,2.733513
44.933236,5,2.738461
54.124966,6,2.744275
26.95606,3,2.747615
82.078342,9,2.756276
63.278856,7,2.763065
