# {"t_start": 1593266820.2981625, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
54.752745,6,1.418085
81.947094,9,1.427093
63.471803,7,1.434187
63.56438,7,1.441215
35.96299,4,1.445343
100.605778,11,1.456251
54.411096,6,1.46238
36.073955,4,1.466542
54.457945,6,1.472574
35.738959,4,1.476742
72.845082,8,1.484706
45.011202,5,1.489777
54.68004,6,1.495794
73.25584,8,1.503799
64.173336,7,1.510802
110.189357,12,1.522537
63.743729,7,1.529486
82.246768,9,1.538393
63.542518,7,1.545586
44.920532,5,1.550781
63.191681,7,1.557831
35.809808,4,1.56203
36.101903,4,1.56622
35.682735,4,1.570438
35.948121,4,1.57456
54.072068,6,1.58059
36.134569,4,1.584738
44.927388,5,1.58988
45.128726,5,1.594999
73.296531,8,1.602925
81.913222,9,1.612342
44.806729,5,1.617981
64.118224,7,1.625533
44.910252,5,1.631203
44.866733,5,1.636805
35.943003,4,1.641199
54.557714,6,1.647403
73.37357,8,1.655551
81.83862,9,1.664479
54.500218,6,1.670583
54.018491,6,1.676625
35.5049,4,1.680983
45.267298,5,1.686205
45.08173,5,1.691754
73.139292,8,1.700457
44.728677,5,1.706359
45.585984,5,1.71186
54.476125,6,1.718228
53.955307,6,1.724445
63.265945,7,1.731367
45.212053,5,1.736733
44.827948,5,1.742124
54.004471,6,1.748665
91.39977,10,1.759816
73.008023,8,1.768279
35.407682,4,1.772662
26.810833,3,1.776084
73.371273,8,1.784502
63.097866,7,1.792038
54.04326,6,1.798547
73.314699,8,1.807204
36.042695,4,1.812293
45.195889,5,1.818325
45.201842,5,1.824043
73.048899,8,1.832944
54.097593,6,1.839546
35.331093,4,1.843964
100.692599,11,1.855534
82.182187,9,1.865731
82.515037,9,1.875842
63.431685,7,1.883327
54.294658,6,1.889378
54.312882,6,1.895443
54.506471,6,1.901287
54.54236,6,1.907438
63.224622,7,1.914345
72.681511,8,1.92205
35.625132,4,1.92613
35.921222,4,1.930181
35.89764,4,1.93419
45.173175,5,1.939151
35.555106,4,1.943276
101.145727,11,1.953793
54.286354,6,1.959692
44.870946,5,1.964662
63.571733,7,1.971463
82.097398,9,1.980382
44.706781,5,1.985421
45.056349,5,1.990431
63.526636,7,1.997253
54.623859,6,2.003141
35.778443,4,2.007177
91.659264,10,2.017063
35.530312,4,2.021163
35.552009,4,2.025242
72.55186,8,2.032927
54.61234,6,2.038825
35.686411,4,2.042919
73.299704,8,2.050638
45.036142,5,2.05566
72.662555,8,2.064313
54.28689,6,2.07137
45.003442,5,2.076933
101.302408,11,2.088176
45.056917,5,2.093261
54.083992,6,2.09929
118.752265,13,2.112154
81.996357,9,2.121256
35.560366,4,2.125401
92.036236,10,2.135045
