# {"t_start": 1594082065.7370791, "env_id": "HalfCheetahSparse-v3"} 
r,l,t
0.0,500,1.952672
0.0,500,2.411074
0.0,500,2.861365
0.0,500,3.323212
0.0,500,5.098199
0.0,500,5.595024
0.0,500,6.099515
0.0,500,6.647698
0.0,500,8.21697
0.0,500,8.66712
0.0,500,9.119945
0.0,500,9.58597
0.0,500,11.591035
0.0,500,12.092453
0.0,500,12.53812
0.0,500,12.983912
47.0,500,14.858944
0.0,500,15.336307
0.0,500,15.788255
0.0,500,16.243661
0.0,500,17.935291
74.0,500,18.392783
0.0,500,18.858169
0.0,500,19.313969
0.0,500,21.038644
0.0,500,21.508108
0.0,500,21.964488
0.0,500,22.487894
0.0,500,24.051816
0.0,500,24.495819
324.0,500,24.961097
0.0,500,25.408543
0.0,500,26.999428
0.0,500,27.450811
0.0,500,27.897433
0.0,500,28.341264
0.0,500,29.919687
0.0,500,30.367712
0.0,500,30.819335
0.0,500,31.273318
0.0,500,32.884854
0.0,500,33.340472
0.0,500,33.835436
0.0,500,34.283901
0.0,500,34.726134
0.0,500,36.293001
0.0,500,36.750551
0.0,500,37.205073
0.0,500,37.657185
0.0,500,39.260904
0.0,500,39.705599
0.0,500,40.146927
0.0,500,40.590715
0.0,500,42.201563
0.0,500,42.732716
0.0,500,43.270838
0.0,500,43.95361
0.0,500,45.96044
22.0,500,46.425766
0.0,500,46.883308
0.0,500,47.601579
0.0,500,49.80571
0.0,500,50.296972
0.0,500,50.749021
0.0,500,51.263362
0.0,500,53.661395
0.0,500,54.121396
0.0,500,54.648935
0.0,500,55.265147
0.0,500,57.6809
0.0,500,58.170437
0.0,500,58.66474
0.0,500,59.165903
0.0,500,61.280583
0.0,500,61.92542
0.0,500,62.448479
0.0,500,63.03072
0.0,500,65.181257
0.0,500,65.714069
0.0,500,66.170566
0.0,500,66.677029
0.0,500,68.908256
0.0,500,69.450674
0.0,500,70.162182
0.0,500,70.863526
0.0,500,71.518965
0.0,500,74.13152
0.0,500,74.90011
0.0,500,75.817812
0.0,500,76.551564
0.0,500,79.185714
0.0,500,79.819304
0.0,500,80.611952
0.0,500,81.080772
0.0,500,83.908637
0.0,500,84.513812
0.0,500,85.059741
0.0,500,85.767153
0.0,500,88.683128
0.0,500,89.40281
0.0,500,90.146366
0.0,500,90.646068
0.0,500,93.968696
0.0,500,94.909917
0.0,500,95.542041
0.0,500,96.146354
0.0,500,99.041258
0.0,500,99.866957
0.0,500,100.660967
0.0,500,101.562531
0.0,500,104.626945
0.0,500,105.169667
0.0,500,105.758889
0.0,500,106.490899
0.0,500,109.425111
0.0,500,110.130865
0.0,500,111.029388
0.0,500,111.959874
0.0,500,115.186569
0.0,500,116.11308
0.0,500,117.035271
0.0,500,117.957208
0.0,500,121.183491
0.0,500,122.076577
0.0,500,122.825979
0.0,500,123.765683
0.0,500,127.140563
0.0,500,128.151145
0.0,500,129.106076
0.0,500,130.034524
0.0,500,131.018828
104.0,500,134.254518
0.0,500,135.202851
0.0,500,136.14783
0.0,500,137.092436
0.0,500,140.397665
0.0,500,141.25719
0.0,500,141.851442
0.0,500,142.774794
0.0,500,146.093855
0.0,500,147.016379
0.0,500,147.938291
0.0,500,148.726263
0.0,500,152.081419
0.0,500,153.015959
0.0,500,153.947788
0.0,500,154.898552
0.0,500,158.235733
0.0,500,159.215964
0.0,500,160.293075
6.0,500,161.425994
0.0,500,165.401539
0.0,500,166.456096
7.0,500,167.460052
0.0,500,168.616784
0.0,500,172.405458
0.0,500,173.38313
0.0,500,174.473792
0.0,500,175.449331
0.0,500,179.336976
218.0,500,180.58975
0.0,500,181.779745
0.0,500,183.159931
0.0,500,187.66836
0.0,500,188.684468
0.0,500,189.745262
0.0,500,190.98694
0.0,500,195.114968
0.0,500,196.263624
0.0,500,197.287942
0.0,500,198.53486
0.0,500,199.740619
0.0,500,204.39397
0.0,500,205.606411
0.0,500,206.793461
0.0,500,207.998188
0.0,500,212.438017
0.0,500,213.565285
0.0,500,214.627555
0.0,500,215.729822
0.0,500,219.917576
0.0,500,221.206252
0.0,500,222.468732
0.0,500,223.493227
0.0,500,227.789108
0.0,500,228.941824
0.0,500,230.094102
0.0,500,231.198467
0.0,500,235.491284
0.0,500,236.640618
0.0,500,237.832845
0.0,500,238.859563
0.0,500,243.023688
0.0,500,244.176615
0.0,500,245.168436
0.0,500,246.219617
0.0,500,250.548123
0.0,500,251.690955
146.0,500,252.848167
0.0,500,253.934954
222.0,500,258.242643
0.0,500,259.390688
0.0,500,260.492626
0.0,500,261.661419
0.0,500,265.902622
0.0,500,266.968961
0.0,500,268.096466
0.0,500,269.170162
0.0,500,273.246142
0.0,500,274.258793
0.0,500,275.540412
0.0,500,276.690594
0.0,500,281.028825
0.0,500,282.267921
0.0,500,283.494809
0.0,500,284.582595
0.0,500,285.752022
0.0,500,290.068515
0.0,500,291.282723
0.0,500,292.615646
0.0,500,293.810628
0.0,500,298.098986
0.0,500,299.25618
0.0,500,300.416668
0.0,500,301.492801
0.0,500,305.887508
0.0,500,307.046577
0.0,500,308.179554
0.0,500,309.287811
0.0,500,313.413053
0.0,500,314.473135
0.0,500,315.677961
0.0,500,316.714885
