# {"t_start": 1594723885.0493617, "env_id": "HalfCheetahSparse-v3"} 
r,l,t
0.0,500,1.897958
0.0,500,2.329731
0.0,500,2.762239
0.0,500,3.199517
0.0,500,10.850189
0.0,500,11.289251
0.0,500,11.725043
0.0,500,12.16225
0.0,500,43.123961
0.0,500,43.606776
0.0,500,44.074135
0.0,500,44.537409
0.0,500,79.848811
0.0,500,80.321192
0.0,500,80.964386
0.0,500,81.558661
0.0,500,119.849829
0.0,500,120.312879
0.0,500,120.809125
0.0,500,121.272449
0.0,500,160.153397
0.0,500,160.619841
0.0,500,161.132655
0.0,500,161.641253
0.0,500,201.280591
0.0,500,201.745144
0.0,500,202.210549
0.0,500,202.675592
0.0,500,239.96148
22.0,500,240.582674
0.0,500,241.132203
0.0,500,241.592242
0.0,500,277.911103
0.0,500,278.376279
0.0,500,278.840827
0.0,500,279.342371
0.0,500,317.106903
0.0,500,317.571628
0.0,500,318.035274
0.0,500,318.498565
0.0,500,355.398509
0.0,500,355.862282
0.0,500,356.323996
0.0,500,356.830807
0.0,500,357.352705
0.0,500,395.404596
0.0,500,395.86941
0.0,500,396.333083
0.0,500,396.797531
0.0,500,434.915347
0.0,500,435.503895
0.0,500,435.969344
0.0,500,436.43549
282.0,500,474.491798
0.0,500,474.95399
0.0,500,475.41684
0.0,500,475.879682
0.0,500,513.676129
0.0,500,514.139789
0.0,500,514.604245
0.0,500,515.072192
0.0,500,554.087324
0.0,500,554.552271
0.0,500,555.016032
0.0,500,555.53702
0.0,500,591.918759
0.0,500,592.390374
0.0,500,592.861725
0.0,500,593.401053
0.0,500,630.744761
0.0,500,631.469267
0.0,500,631.93778
0.0,500,632.4965
0.0,500,669.407867
0.0,500,669.916418
0.0,500,670.421766
0.0,500,671.121723
0.0,500,708.179005
0.0,500,708.857609
0.0,500,709.326117
0.0,500,709.839647
0.0,500,747.491305
0.0,500,748.055863
0.0,500,748.528311
0.0,500,748.998077
0.0,500,749.463154
0.0,500,787.590066
0.0,500,788.09891
0.0,500,788.677514
0.0,500,789.191615
0.0,500,826.7577
0.0,500,827.226779
0.0,500,827.695805
0.0,500,828.186699
0.0,500,865.840994
0.0,500,866.302604
0.0,500,866.813231
0.0,500,867.283393
0.0,500,905.53102
0.0,500,905.992982
0.0,500,906.455124
0.0,500,906.920193
0.0,500,944.420624
0.0,500,944.965248
0.0,500,945.484897
0.0,500,945.951091
0.0,500,983.567382
0.0,500,984.10055
0.0,500,984.566436
0.0,500,985.086717
0.0,500,1023.248522
0.0,500,1023.723891
0.0,500,1024.187138
0.0,500,1024.656594
0.0,500,1062.339105
0.0,500,1062.865482
0.0,500,1063.339724
0.0,500,1063.80816
0.0,500,1100.957366
0.0,500,1101.441743
0.0,500,1102.069722
0.0,500,1102.540684
0.0,500,1140.67091
0.0,500,1141.152743
0.0,500,1141.617032
0.0,500,1142.092476
0.0,500,1180.191636
0.0,500,1180.668699
0.0,500,1181.134003
0.0,500,1181.810869
0.0,500,1182.554741
0.0,500,1219.282329
0.0,500,1219.866833
0.0,500,1220.334413
0.0,500,1220.974666
0.0,500,1258.290926
0.0,500,1258.833978
0.0,500,1259.478764
0.0,500,1259.978193
0.0,500,1298.392955
0.0,500,1299.083902
0.0,500,1299.61942
0.0,500,1300.143092
232.0,500,1338.951712
0.0,500,1339.415222
0.0,500,1339.885714
0.0,500,1340.345449
0.0,500,1377.732365
0.0,500,1378.310467
0.0,500,1378.935826
0.0,500,1379.406656
0.0,500,1416.51089
0.0,500,1417.024096
0.0,500,1417.543107
0.0,500,1418.141314
3.0,500,1456.320053
0.0,500,1456.782266
0.0,500,1457.400214
0.0,500,1457.860339
0.0,500,1497.223707
0.0,500,1497.697348
0.0,500,1498.241935
0.0,500,1498.705536
0.0,500,1536.422237
0.0,500,1536.888287
0.0,500,1537.357423
0.0,500,1537.819484
0.0,500,1576.925082
0.0,500,1577.439558
0.0,500,1577.904351
0.0,500,1578.367127
0.0,500,1578.830374
0.0,500,1614.889395
0.0,500,1615.354981
0.0,500,1615.820135
0.0,500,1616.330765
0.0,500,1653.731202
0.0,500,1654.194467
0.0,500,1654.65743
0.0,500,1655.122568
0.0,500,1693.653419
0.0,500,1694.115484
0.0,500,1694.576912
0.0,500,1695.094505
0.0,500,1732.805352
0.0,500,1733.267027
0.0,500,1733.729662
0.0,500,1734.338181
0.0,500,1771.25131
0.0,500,1771.712817
0.0,500,1772.177855
0.0,500,1772.694149
0.0,500,1811.826491
0.0,500,1812.291342
0.0,500,1812.758704
0.0,500,1813.283204
0.0,500,1851.106414
0.0,500,1851.630551
0.0,500,1852.097394
0.0,500,1852.563817
0.0,500,1890.063476
0.0,500,1890.592356
0.0,500,1891.096459
0.0,500,1891.673057
0.0,500,1929.749666
0.0,500,1930.209584
0.0,500,1930.791699
0.0,500,1931.485032
0.0,500,1968.083034
0.0,500,1968.597051
0.0,500,1969.076864
0.0,500,1969.684242
0.0,500,2007.39232
0.0,500,2007.853793
0.0,500,2008.329901
0.0,500,2008.790501
0.0,500,2009.457367
0.0,500,2047.646451
0.0,500,2048.224362
0.0,500,2048.833524
0.0,500,2049.297765
0.0,500,2086.857502
0.0,500,2087.385458
0.0,500,2087.927744
0.0,500,2088.395307
0.0,500,2126.975083
0.0,500,2127.442161
0.0,500,2127.910349
0.0,500,2128.374745
0.0,500,2166.015033
0.0,500,2166.510103
0.0,500,2167.099413
0.0,500,2167.691238
0.0,500,2204.033562
0.0,500,2204.555442
0.0,500,2205.17255
0.0,500,2205.642697
0.0,500,2244.754173
0.0,500,2245.282999
0.0,500,2245.751572
0.0,500,2246.298965
0.0,500,2284.643147
0.0,500,2285.113215
0.0,500,2285.63684
0.0,500,2286.098552
0.0,500,2323.350179
0.0,500,2324.010067
0.0,500,2324.528653
0.0,500,2324.995124
0.0,500,2362.425191
0.0,500,2363.07011
0.0,500,2363.577645
0.0,500,2364.125048
0.0,500,2401.542909
0.0,500,2402.019587
0.0,500,2402.495872
0.0,500,2402.99919
0.0,500,2403.591866
0.0,500,2442.147955
0.0,500,2442.626416
0.0,500,2443.090103
0.0,500,2443.556246
0.0,500,2481.914135
0.0,500,2482.389913
0.0,500,2482.929995
0.0,500,2483.441791
0.0,500,2520.951935
0.0,500,2521.418434
0.0,500,2521.922037
0.0,500,2522.387287
0.0,500,2560.554977
0.0,500,2561.080611
0.0,500,2561.545978
0.0,500,2562.007365
0.0,500,2599.385107
0.0,500,2599.847344
0.0,500,2600.309708
0.0,500,2600.771817
0.0,500,2639.115225
0.0,500,2639.578078
0.0,500,2640.053046
0.0,500,2640.516119
0.0,500,2678.344101
0.0,500,2678.818715
0.0,500,2679.279283
0.0,500,2679.739595
0.0,500,2716.330884
0.0,500,2716.848381
0.0,500,2717.315972
0.0,500,2717.791806
0.0,500,2755.884167
0.0,500,2756.466903
0.0,500,2756.992133
0.0,500,2757.452015
0.0,500,2795.277879
0.0,500,2795.744571
0.0,500,2796.208994
