# {"t_start": 1593282296.978542, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,2.28651
-200.0,200,2.461805
-200.0,200,2.778254
-200.0,200,3.033352
-200.0,200,3.202725
-200.0,200,3.372083
-200.0,200,3.541543
-200.0,200,3.710555
-200.0,200,3.880139
-200.0,200,4.049142
-200.0,200,6.071
-200.0,200,6.359326
-200.0,200,6.56263
-200.0,200,6.839004
-200.0,200,7.091023
-200.0,200,7.267354
-200.0,200,7.469292
-200.0,200,7.645472
-200.0,200,7.82084
-200.0,200,8.034954
-200.0,200,9.726986
-200.0,200,9.912354
-200.0,200,10.090646
-200.0,200,10.268879
-200.0,200,10.496864
-200.0,200,10.677662
-200.0,200,10.855612
-200.0,200,11.029416
-200.0,200,11.245182
-200.0,200,11.509813
-200.0,200,13.101261
-200.0,200,13.280991
-200.0,200,13.459736
-200.0,200,13.636945
-200.0,200,13.818567
-200.0,200,13.992154
-200.0,200,14.174062
-200.0,200,14.344952
-200.0,200,14.660299
-200.0,200,14.86208
-200.0,200,16.610685
-200.0,200,16.948642
-200.0,200,17.243529
-200.0,200,17.490355
-200.0,200,17.661936
-200.0,200,17.922267
-200.0,200,18.096619
-200.0,200,18.268913
-200.0,200,18.442349
-200.0,200,18.803532
-200.0,200,19.051419
-200.0,200,21.405781
-200.0,200,21.75964
-200.0,200,21.953069
-200.0,200,22.227646
-200.0,200,22.40106
-200.0,200,22.715893
-200.0,200,23.088861
-200.0,200,23.36156
-200.0,200,23.749041
-200.0,200,24.027131
-200.0,200,26.309483
-200.0,200,26.595543
-200.0,200,26.766561
-200.0,200,27.093078
-200.0,200,27.408166
-200.0,200,27.756288
-200.0,200,28.031121
-200.0,200,28.238024
-200.0,200,28.414361
-200.0,200,28.607791
-200.0,200,30.827963
-200.0,200,31.08926
-200.0,200,31.383607
-200.0,200,31.554524
-200.0,200,31.783472
-200.0,200,32.106431
-200.0,200,32.288455
-200.0,200,32.522952
-200.0,200,32.704705
-200.0,200,32.886
-200.0,200,35.075577
-200.0,200,35.431366
-200.0,200,35.639307
-200.0,200,35.990788
-200.0,200,36.322097
-200.0,200,36.525471
-200.0,200,36.704016
-200.0,200,36.876894
-200.0,200,37.183506
-200.0,200,37.439547
-200.0,200,37.769718
-200.0,200,40.049874
-200.0,200,40.318704
-200.0,200,40.610941
-200.0,200,40.780449
-200.0,200,41.013309
-200.0,200,41.315341
-200.0,200,41.6425
-200.0,200,41.864374
-200.0,200,42.056971
-200.0,200,42.291419
-200.0,200,44.702283
-200.0,200,45.022156
-200.0,200,45.23245
-200.0,200,45.409266
-200.0,200,45.685035
