# {"t_start": 1593300158.7614155, "env_id": "MountainCar-v0"} 
r,l,t
-200.0,200,1.579821
-200.0,200,1.750399
-200.0,200,1.919329
-200.0,200,2.091124
-200.0,200,2.253608
-200.0,200,2.415645
-200.0,200,2.579502
-200.0,200,2.742184
-200.0,200,2.90449
-200.0,200,3.068256
-200.0,200,7.206914
-200.0,200,7.381736
-200.0,200,7.558168
-200.0,200,7.733507
-200.0,200,7.910642
-200.0,200,8.09266
-200.0,200,8.270615
-200.0,200,8.443397
-200.0,200,8.617914
-200.0,200,8.790594
-200.0,200,21.880422
-200.0,200,22.05123
-200.0,200,22.221847
-200.0,200,22.398664
-200.0,200,22.575003
-200.0,200,22.752416
-200.0,200,22.925414
-200.0,200,23.095397
-200.0,200,23.270079
-200.0,200,23.444964
-200.0,200,36.740259
-200.0,200,36.910374
-200.0,200,37.079852
-200.0,200,37.249224
-200.0,200,37.419827
-200.0,200,37.589298
-200.0,200,37.758675
-200.0,200,37.928374
-200.0,200,38.100164
-200.0,200,38.269662
-200.0,200,51.482128
-200.0,200,51.652397
-200.0,200,51.82198
-200.0,200,51.991877
-200.0,200,52.161416
-200.0,200,52.330977
-200.0,200,52.50066
-200.0,200,52.670399
-200.0,200,52.840015
-200.0,200,53.009629
-200.0,200,53.179141
-200.0,200,66.438321
-200.0,200,66.611067
-200.0,200,66.780957
-200.0,200,66.951286
-200.0,200,67.121597
-200.0,200,67.291281
-200.0,200,67.462275
-200.0,200,67.632054
-200.0,200,67.803033
-200.0,200,67.97294
-200.0,200,81.15312
-200.0,200,81.323409
-200.0,200,81.497871
-200.0,200,81.685668
-200.0,200,81.863163
-200.0,200,82.036128
-200.0,200,82.207972
-200.0,200,82.381142
-200.0,200,82.555691
-200.0,200,82.728947
-200.0,200,96.148418
-200.0,200,96.319591
-200.0,200,96.494397
-200.0,200,96.667524
-200.0,200,96.838733
-200.0,200,97.009471
-200.0,200,97.182202
-200.0,200,97.354998
-200.0,200,97.530434
-200.0,200,97.706799
-200.0,200,111.125235
-200.0,200,111.295909
-200.0,200,111.471643
-200.0,200,111.648712
-200.0,200,111.822973
-200.0,200,111.992491
-200.0,200,112.164141
-200.0,200,112.336042
-200.0,200,112.511332
-200.0,200,112.686542
-200.0,200,112.861163
-200.0,200,125.975784
-200.0,200,126.146989
-200.0,200,126.317937
-200.0,200,126.486975
-200.0,200,126.656185
-200.0,200,126.824832
-200.0,200,126.993614
-200.0,200,127.163219
-200.0,200,127.332532
-200.0,200,127.502845
-200.0,200,140.868516
-200.0,200,141.03852
-200.0,200,141.210818
-200.0,200,141.380727
-200.0,200,141.550537
-200.0,200,141.719316
-200.0,200,141.887782
-200.0,200,142.0598
-200.0,200,142.232684
-200.0,200,142.405829
-200.0,200,155.746873
-200.0,200,155.928359
-200.0,200,156.116117
-200.0,200,156.301061
-200.0,200,156.485125
-200.0,200,156.667211
-200.0,200,156.846494
-200.0,200,157.02712
-200.0,200,157.20379
-200.0,200,157.381813
-200.0,200,171.295493
-200.0,200,171.479303
-200.0,200,171.67309
-200.0,200,171.847647
-200.0,200,172.031482
-200.0,200,172.227072
-200.0,200,172.41745
-200.0,200,172.603122
-200.0,200,172.794026
-200.0,200,172.987115
-200.0,200,173.198865
-200.0,200,188.761154
-200.0,200,188.937195
-200.0,200,189.114031
-200.0,200,189.372985
-200.0,200,189.553824
-200.0,200,189.728648
-200.0,200,190.003373
-200.0,200,190.21582
-200.0,200,190.431351
-200.0,200,190.626369
-200.0,200,211.846126
-200.0,200,212.031845
-200.0,200,212.368588
-200.0,200,212.55599
-200.0,200,212.858872
-200.0,200,213.062928
-200.0,200,213.323994
-200.0,200,213.712456
-200.0,200,213.966319
-200.0,200,214.142833
-200.0,200,234.005764
-200.0,200,234.18434
-200.0,200,234.455691
-200.0,200,234.709603
-200.0,200,234.895737
-200.0,200,235.077209
-200.0,200,235.373987
-200.0,200,235.713284
-200.0,200,236.057874
-200.0,200,236.261883
-200.0,200,255.556754
-200.0,200,255.79125
-200.0,200,255.976104
-200.0,200,256.18355
-200.0,200,256.36044
-200.0,200,256.705393
-200.0,200,256.92787
-200.0,200,257.238053
-200.0,200,257.510412
-200.0,200,257.686715
-200.0,200,257.960518
-200.0,200,278.672074
-200.0,200,278.854922
-200.0,200,279.079544
-200.0,200,279.255283
-200.0,200,279.432294
-200.0,200,279.745444
-200.0,200,280.08453
-200.0,200,280.334831
-200.0,200,280.512053
-200.0,200,280.788887
-200.0,200,302.351854
-200.0,200,302.638247
-200.0,200,302.824071
-200.0,200,303.005815
-200.0,200,303.248744
-200.0,200,303.490942
-200.0,200,303.820762
-200.0,200,304.007913
-200.0,200,304.19286
-200.0,200,304.448292
-200.0,200,324.881884
-200.0,200,325.223027
-200.0,200,325.542655
-200.0,200,325.761341
-200.0,200,326.042441
-200.0,200,326.339218
-200.0,200,326.698888
-200.0,200,326.997499
-200.0,200,327.223176
-200.0,200,327.491617
-200.0,200,349.373567
-200.0,200,349.548949
-200.0,200,349.748921
-200.0,200,350.014393
-200.0,200,350.304641
-163.0,163,350.448122
-200.0,200,350.62691
-200.0,200,350.877575
-200.0,200,351.128829
-200.0,200,351.325643
-200.0,200,351.51866
-150.0,150,373.100324
-200.0,200,373.323853
-200.0,200,373.672894
-162.0,162,373.952264
-200.0,200,374.321876
-156.0,156,374.513126
-154.0,154,374.654366
-200.0,200,374.862739
-200.0,200,375.070789
-200.0,200,375.254081
-152.0,152,375.425056
-152.0,152,396.016725
-200.0,200,396.251231
-200.0,200,396.460782
-147.0,147,396.690084
-200.0,200,396.966234
-200.0,200,397.143358
