# {"t_start": 1594067913.5292943, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,5.203879
0,999,6.981002
0,999,11.868521
0,999,13.761855
0,999,18.441627
0,999,20.15618
0,999,24.937902
0,999,26.829249
0,999,31.017228
1.0,941,32.536931
1.0,658,36.82678
0,999,38.896431
1.0,564,39.955062
1.0,734,44.735683
1.0,700,46.166244
1.0,419,47.120092
1.0,442,50.946289
1.0,489,52.129553
0,999,54.372861
1.0,323,55.03947
1.0,476,59.349615
1.0,331,60.001874
1.0,400,60.831923
1.0,334,61.464247
1.0,376,62.153676
1.0,701,66.465536
1.0,325,67.099149
1.0,390,67.80766
1.0,367,68.4158
1.0,261,68.895084
1.0,392,72.401833
1.0,395,73.299714
1.0,354,73.908029
1.0,280,74.59418
1.0,452,75.608442
1.0,571,79.657059
1.0,242,80.061926
1.0,389,80.786173
1.0,243,81.218266
1.0,331,82.068032
1.0,407,82.856641
1.0,328,86.622752
1.0,372,87.276602
1.0,401,88.123442
1.0,321,88.862533
1.0,259,89.407404
1.0,250,89.904596
1.0,246,90.367049
1.0,333,94.207381
1.0,190,94.561146
1.0,219,95.022182
1.0,257,95.565874
1.0,243,95.990396
1.0,217,96.398058
1.0,292,97.020744
1.0,240,97.472753
1.0,276,100.938216
1.0,211,101.372424
1.0,310,102.017346
1.0,250,102.448805
1.0,185,102.817617
1.0,271,103.349022
1.0,208,103.752416
1.0,245,104.224075
1.0,255,104.708932
1.0,299,108.083723
1.0,243,108.549541
1.0,218,108.918433
1.0,142,109.187695
1.0,316,109.765147
1.0,259,110.3467
1.0,240,110.769509
1.0,228,111.156971
1.0,283,114.624409
1.0,289,115.253763
1.0,188,115.663147
1.0,214,116.125319
1.0,166,116.440399
1.0,213,116.905072
1.0,163,117.24896
1.0,227,117.700532
1.0,173,118.090505
1.0,246,118.603492
1.0,170,121.85738
1.0,238,122.2614
1.0,178,122.577743
1.0,213,122.929341
1.0,213,123.353224
1.0,214,123.711971
1.0,178,124.031041
1.0,179,124.36361
1.0,197,124.786826
1.0,204,125.20651
1.0,147,128.387207
1.0,168,128.763666
1.0,189,129.137131
1.0,257,129.625602
1.0,272,130.101637
1.0,172,130.437033
1.0,157,130.708423
1.0,184,131.053606
1.0,204,131.517757
1.0,170,131.866349
1.0,206,132.293311
1.0,177,135.696876
1.0,207,136.092021
1.0,176,136.427034
1.0,220,136.854016
1.0,213,137.359431
1.0,187,137.73565
1.0,182,138.12017
1.0,176,138.49138
1.0,256,138.927591
1.0,258,139.535741
1.0,246,143.371429
1.0,169,143.7464
1.0,238,144.261016
1.0,175,144.55135
1.0,138,144.881919
1.0,143,145.23761
1.0,148,145.610333
1.0,172,146.052989
1.0,167,146.366723
1.0,255,146.875725
1.0,178,147.20278
1.0,145,150.426004
1.0,217,150.86898
1.0,183,151.203437
1.0,169,151.586066
1.0,110,151.850017
1.0,233,152.325763
1.0,133,152.63055
