# {"t_start": 1594067857.665787, "env_id": "MountainCarSparse-v0"} 
r,l,t
0,999,4.840935
0,999,6.499851
0,999,16.260316
0,999,17.827744
0,999,47.02278
0,999,48.710431
0,999,81.678205
0,999,83.47656
0,999,119.16032
0,999,121.309922
0,999,157.79124
0,999,159.891491
0,999,196.4071
0,999,198.373454
0,999,233.757996
0,999,236.091357
0,999,272.024053
0,999,274.082743
0,999,309.893151
0,999,312.002124
0,999,347.608831
0,999,349.85929
0,999,385.147955
0,999,387.2678
0,999,423.196805
0,999,425.272789
0,999,462.015306
0,999,464.25974
0,999,499.87111
1.0,578,500.985073
1.0,840,502.836021
1.0,886,539.054805
1.0,583,540.159338
1.0,638,541.407175
1.0,545,576.058331
1.0,531,577.218686
1.0,522,578.369104
1.0,614,579.784834
1.0,553,614.307526
1.0,491,615.331876
1.0,612,616.724948
1.0,552,651.85062
1.0,236,652.264931
1.0,392,653.122535
1.0,297,653.709519
1.0,395,654.511292
1.0,285,655.063143
1.0,219,655.496159
1.0,338,690.299415
1.0,316,690.870036
1.0,306,691.568362
1.0,411,692.369576
1.0,320,693.093541
1.0,364,693.82103
1.0,251,728.178596
1.0,187,728.554528
1.0,271,729.122725
1.0,181,729.497678
1.0,248,729.982417
1.0,224,730.455066
1.0,278,731.122992
1.0,226,731.569742
1.0,269,732.046863
1.0,256,766.463187
1.0,242,766.969466
1.0,207,767.374585
1.0,151,767.734681
1.0,188,768.109747
1.0,286,768.737745
1.0,149,769.098121
1.0,149,769.386432
1.0,258,769.983446
1.0,345,803.847778
1.0,249,804.36185
1.0,412,805.143391
1.0,258,805.661877
1.0,211,806.085831
1.0,228,806.482332
1.0,264,807.036615
1.0,320,807.726326
1.0,159,842.125577
1.0,181,842.518316
1.0,198,842.987175
1.0,226,843.44354
1.0,297,844.112324
1.0,182,844.515671
1.0,196,844.987085
1.0,280,845.593699
1.0,230,846.083356
1.0,243,880.5444
1.0,188,880.862095
1.0,184,881.213262
1.0,245,881.625911
1.0,320,882.269379
1.0,172,882.595981
1.0,285,883.107139
1.0,149,883.351398
1.0,223,883.76811
1.0,224,917.791257
1.0,237,918.191624
1.0,167,918.476029
1.0,208,918.821339
1.0,218,919.182501
1.0,277,919.640562
1.0,224,920.017158
1.0,293,920.511343
1.0,220,920.881363
1.0,256,948.465432
1.0,177,948.763355
1.0,178,949.058722
1.0,195,949.375756
1.0,295,949.867097
1.0,157,950.129217
1.0,189,950.441843
1.0,258,950.864569
1.0,217,951.22513
1.0,172,951.512569
1.0,178,979.030394
1.0,201,979.360699
1.0,221,979.796314
1.0,190,980.117121
1.0,147,980.402848
1.0,191,980.735205
1.0,162,981.015986
1.0,180,981.310018
1.0,190,981.632249
1.0,138,981.867112
1.0,143,982.097643
1.0,192,1009.32437
1.0,180,1009.626961
1.0,225,1009.993001
1.0,238,1010.395719
1.0,166,1010.662009
1.0,137,1010.893173
1.0,210,1011.241464
1.0,248,1011.650073
1.0,145,1011.893314
1.0,186,1012.207915
1.0,186,1012.529051
1.0,195,1039.686003
1.0,216,1040.06951
1.0,143,1040.306473
1.0,210,1040.659934
1.0,181,1040.975195
1.0,136,1041.200639
1.0,256,1041.61397
1.0,144,1041.866962
1.0,141,1042.15883
1.0,153,1042.409863
1.0,250,1042.830284
1.0,175,1069.858562
1.0,154,1070.111493
1.0,176,1070.405558
1.0,133,1070.660331
1.0,140,1070.888264
1.0,178,1071.185597
1.0,205,1071.534002
1.0,179,1071.825626
1.0,190,1072.154697
1.0,155,1072.416357
1.0,144,1072.689603
1.0,178,1072.991201
1.0,102,1073.175994
1.0,186,1100.672061
1.0,135,1100.892875
1.0,128,1101.107685
1.0,180,1101.401418
1.0,105,1101.584092
1.0,130,1101.803628
1.0,132,1102.024812
1.0,143,1102.258783
1.0,112,1102.43498
1.0,139,1102.66876
1.0,112,1102.844723
1.0,133,1103.062162
1.0,138,1103.296268
1.0,165,1103.576341
1.0,134,1103.798491
1.0,138,1131.341965
1.0,129,1131.553117
1.0,132,1131.772289
1.0,134,1131.991234
1.0,112,1132.180842
1.0,126,1132.320161
1.0,139,1132.433323
1.0,141,1132.606185
1.0,109,1132.794425
1.0,132,1133.013059
1.0,178,1133.324257
1.0,179,1133.618094
1.0,164,1133.894092
1.0,131,1134.116574
1.0,145,1134.352784
1.0,162,1161.503829
1.0,141,1161.764317
1.0,107,1161.942706
1.0,123,1162.155752
1.0,131,1162.382299
1.0,128,1162.596315
1.0,136,1162.830558
1.0,131,1163.048847
1.0,159,1163.301566
1.0,105,1163.484768
1.0,134,1163.712721
1.0,160,1163.973508
1.0,133,1164.19203
1.0,130,1164.412121
1.0,166,1164.690242
1.0,154,1191.363422
1.0,158,1191.627283
1.0,97,1191.792176
1.0,142,1192.027001
1.0,132,1192.251817
1.0,123,1192.459215
1.0,180,1192.758673
1.0,136,1192.97634
1.0,134,1193.209884
1.0,135,1193.440679
1.0,131,1193.65986
1.0,185,1193.974019
1.0,128,1194.185373
1.0,125,1194.392986
1.0,123,1221.748468
1.0,117,1221.943763
1.0,124,1222.155486
1.0,139,1222.394402
1.0,130,1222.608085
1.0,125,1222.821463
1.0,130,1223.038882
1.0,149,1223.28908
1.0,147,1223.539252
1.0,121,1223.742319
1.0,133,1223.970864
1.0,121,1224.169869
1.0,126,1224.387899
1.0,96,1224.554945
1.0,146,1224.804397
1.0,102,1224.969544
1.0,163,1252.210808
1.0,170,1252.49906
1.0,153,1252.755395
1.0,119,1252.954865
1.0,124,1253.158796
1.0,118,1253.353205
1.0,128,1253.574196
1.0,117,1253.773735
1.0,122,1253.981197
1.0,103,1254.156435
1.0,82,1254.285345
1.0,89,1254.443911
1.0,121,1254.647888
1.0,100,1254.82707
1.0,128,1255.043718
1.0,125,1255.254401
1.0,124,1255.467323
1.0,128,1282.547367
1.0,123,1282.748826
1.0,132,1282.976088
1.0,139,1283.198532
1.0,140,1283.43392
1.0,123,1283.631386
1.0,119,1283.825347
1.0,120,1284.020198
1.0,135,1284.252145
1.0,126,1284.454228
1.0,129,1284.677153
1.0,97,1284.830971
1.0,123,1285.039395
1.0,131,1285.256495
1.0,129,1285.474825
1.0,124,1285.687752
1.0,127,1313.107758
1.0,95,1313.270833
1.0,119,1313.455108
1.0,130,1313.635655
1.0,124,1313.846743
1.0,116,1314.039526
1.0,85,1314.180631
1.0,116,1314.383621
1.0,117,1314.576832
1.0,114,1314.766196
1.0,119,1314.958994
1.0,126,1315.172659
1.0,134,1315.412417
1.0,90,1315.557233
1.0,172,1315.841135
1.0,117,1316.032095
1.0,112,1316.22294
1.0,121,1316.427703
1.0,119,1343.60478
1.0,86,1343.743415
1.0,118,1343.935865
1.0,119,1344.129647
1.0,116,1344.321335
1.0,141,1344.561459
1.0,110,1344.740738
1.0,119,1344.934698
1.0,123,1345.136379
1.0,120,1345.344064
1.0,98,1345.496815
1.0,94,1345.657995
1.0,118,1345.857383
1.0,121,1346.065435
1.0,101,1346.23343
1.0,119,1346.424705
1.0,156,1346.6905
1.0,132,1373.171928
1.0,130,1373.387791
1.0,113,1373.579411
1.0,117,1373.761517
1.0,103,1373.928809
1.0,84,1374.070472
1.0,81,1374.207541
1.0,114,1374.399103
1.0,119,1374.603898
1.0,128,1374.733003
1.0,115,1374.827967
1.0,117,1374.957404
1.0,123,1375.167499
1.0,84,1375.296268
1.0,115,1375.485636
1.0,104,1375.666969
1.0,127,1375.874714
1.0,116,1376.122632
1.0,119,1376.325994
1.0,120,1403.239228
1.0,136,1403.470546
1.0,84,1403.597265
1.0,120,1403.80303
1.0,119,1403.995451
1.0,117,1404.199081
1.0,116,1404.3892
1.0,86,1404.532675
1.0,97,1404.693408
1.0,119,1404.891002
1.0,128,1405.09311
1.0,128,1405.306099
1.0,130,1405.530299
1.0,92,1405.686008
1.0,122,1405.879189
1.0,100,1406.042529
1.0,85,1406.187767
1.0,116,1406.371083
1.0,87,1433.005894
1.0,116,1433.199618
1.0,116,1433.392703
1.0,124,1433.60487
1.0,87,1433.754257
1.0,130,1433.97125
1.0,119,1434.166287
1.0,89,1434.312514
1.0,123,1434.523653
1.0,115,1434.715702
1.0,114,1434.90747
1.0,117,1435.097502
1.0,116,1435.298545
1.0,113,1435.489307
1.0,118,1435.684188
1.0,85,1435.818689
1.0,113,1436.009249
1.0,120,1436.213554
1.0,114,1463.556059
1.0,119,1463.753313
1.0,117,1463.959983
1.0,115,1464.147699
1.0,114,1464.339101
1.0,109,1464.514031
1.0,101,1464.681737
1.0,114,1464.883931
1.0,140,1465.111705
1.0,118,1465.306264
1.0,118,1465.499879
1.0,116,1465.703855
1.0,115,1465.892085
1.0,116,1466.084043
1.0,121,1466.277138
1.0,116,1466.477393
1.0,189,1466.781158
1.0,123,1493.470458
1.0,113,1493.649584
1.0,112,1493.846517
